"Date"	"Source"	"Term"	"Strength"	"Sentiment"	"Passion"	"Reach"
2016-06-27	"microblogs"	"Hungary"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Hungary"	"42"	"2:1"	"4"	"40"
2016-06-27	"images"	"Hungary"	"100"	"0:0"	"75"	"50"
2016-06-27	"all"	"Hungary"	"77"	"3:1"	"35"	"48"
2016-06-27	"blogs"	"Iceland"	"19"	"6:1"	"14"	"4"
2016-06-27	"microblogs"	"Iceland"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Iceland"	"26"	"3:0"	"7"	"24"
2016-06-27	"images"	"Iceland"	"66"	"1:0"	"41"	"37"
2016-06-27	"all"	"Iceland"	"67"	"1:1"	"15"	"51"
2016-06-27	"blogs"	"India"	"14"	"6:0"	"0"	"2"
2016-06-27	"microblogs"	"India"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"India"	"34"	"2:1"	"5"	"32"
2016-06-27	"images"	"India"	"100"	"3:0"	"65"	"35"
2016-06-27	"all"	"India"	"54"	"4:1"	"56"	"21"
2016-06-27	"blogs"	"Indonesia"	"12"	"2:1"	"57"	"2"
2016-06-27	"microblogs"	"Indonesia"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Indonesia"	"44"	"3:1"	"9"	"40"
2016-06-27	"images"	"Indonesia"	"100"	"58:0"	"81"	"19"
2016-06-27	"all"	"Indonesia"	"56"	"22:1"	"67"	"17"
2016-06-27	"blogs"	"Iran"	"10"	"3:0"	"0"	"0"
2016-06-27	"microblogs"	"Iran"	"100"	"1:1"	"32"	"94"
2016-06-27	"bookmarks"	"Iran"	"34"	"1:1"	"23"	"26"
2016-06-27	"images"	"Iran"	"100"	"0:1"	"91"	"9"
2016-06-27	"all"	"Iran"	"64"	"4:1"	"80"	"12"
2016-06-27	"blogs"	"Iraq"	"12"	"2:1"	"0"	"1"
2016-06-27	"microblogs"	"Iraq"	"100"	"1:1"	"8"	"138"
2016-06-27	"bookmarks"	"Iraq"	"40"	"1:1"	"15"	"34"
2016-06-27	"images"	"Iraq"	"100"	"3:1"	"42"	"57"
2016-06-27	"all"	"Iraq"	"71"	"2:1"	"27"	"48"
2016-06-27	"blogs"	"Ireland"	"12"	"2:1"	"0"	"1"
2016-06-27	"microblogs"	"Ireland"	"100"	"1:1"	"3"	"168"
2016-06-27	"bookmarks"	"Ireland"	"42"	"1:1"	"23"	"32"
2016-06-27	"images"	"Ireland"	"100"	"2:0"	"53"	"94"
2016-06-27	"all"	"Ireland"	"75"	"2:1"	"27"	"51"
2016-06-27	"blogs"	"Israel"	"15"	"5:0"	"0"	"2"
2016-06-27	"microblogs"	"Israel"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Israel"	"38"	"2:1"	"10"	"34"
2016-06-27	"images"	"Israel"	"100"	"0:1"	"35"	"130"
2016-06-27	"all"	"Israel"	"57"	"3:1"	"30"	"34"
2016-06-27	"blogs"	"Italy"	"16"	"4:0"	"16"	"4"
2016-06-27	"microblogs"	"Italy"	"100"	"1:1"	"1"	"142"
2016-06-27	"bookmarks"	"Italy"	"44"	"1:1"	"9"	"40"
2016-06-27	"images"	"Italy"	"100"	"0:0"	"78"	"44"
2016-06-27	"all"	"Italy"	"72"	"2:1"	"42"	"39"
2016-06-27	"blogs"	"Ivory Coast"	"11"	"4:1"	"0"	"4"
2016-06-27	"microblogs"	"Ivory Coast"	"68"	"3:1"	"46"	"35"
2016-06-27	"bookmarks"	"Ivory Coast"	"68"	"3:1"	"46"	"35"
2016-06-27	"images"	"Ivory Coast"	"68"	"3:1"	"46"	"35"
2016-06-27	"all"	"Ivory Coast"	"68"	"3:1"	"46"	"35"
2016-06-27	"blogs"	"Jamaica"	"14"	"9:0"	"0"	"1"
2016-06-27	"microblogs"	"Jamaica"	"100"	"14:1"	"8"	"160"
2016-06-27	"bookmarks"	"Jamaica"	"30"	"3:1"	"26"	"28"
2016-06-27	"images"	"Jamaica"	"100"	"2:0"	"34"	"66"
2016-06-27	"all"	"Jamaica"	"75"	"10:1"	"22"	"54"
2016-06-27	"blogs"	"Japan"	"16"	"2:1"	"0"	"4"
2016-06-27	"microblogs"	"Japan"	"100"	"3:1"	"9"	"120"
2016-06-27	"bookmarks"	"Japan"	"34"	"7:1"	"5"	"32"
2016-06-27	"images"	"Japan"	"100"	"1:0"	"72"	"56"
2016-06-27	"all"	"Japan"	"68"	"3:1"	"43"	"35"
2016-06-27	"blogs"	"Jordan"	"11"	"5:0"	"0"	"2"
2016-06-27	"microblogs"	"Jordan"	"100"	"2:1"	"8"	"148"
2016-06-27	"bookmarks"	"Jordan"	"42"	"4:1"	"14"	"36"
2016-06-27	"images"	"Jordan"	"100"	"1:0"	"47"	"106"
2016-06-27	"all"	"Jordan"	"55"	"6:1"	"40"	"30"
2016-06-27	"blogs"	"Kazakhstan"	"8"	"4:0"	"0"	"2"
2016-06-27	"microblogs"	"Kazakhstan"	"100"	"3:0"	"7"	"176"
2016-06-27	"bookmarks"	"Kazakhstan"	"2"	"5:0"	"14"	"36"
2016-06-27	"images"	"Kazakhstan"	"98"	"0:0"	"67"	"31"
2016-06-27	"all"	"Kazakhstan"	"68"	"12:0"	"34"	"47"
2016-06-27	"blogs"	"Kenya"	"10"	"4:1"	"0"	"1"
2016-06-27	"microblogs"	"Kenya"	"100"	"2:1"	"4"	"170"
2016-06-27	"bookmarks"	"Kenya"	"38"	"4:0"	"21"	"30"
2016-06-27	"images"	"Kenya"	"100"	"3:0"	"62"	"38"
2016-06-27	"all"	"Kenya"	"74"	"3:1"	"33"	"47"
2016-06-27	"blogs"	"Kiribati"	"4"	"1:0"	"0"	"4"
2016-06-27	"microblogs"	"Kiribati"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Kiribati"	"0"	"0:0"	"0"	"4"
2016-06-27	"images"	"Kiribati"	"100"	"1:0"	"27"	"100"
2016-06-27	"all"	"Kiribati"	"48"	"2:0"	"26"	"36"
2016-06-27	"blogs"	"Kuwait"	"8"	"2:1"	"0"	"1"
2016-06-27	"microblogs"	"Kuwait"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Kuwait"	"34"	"1:1"	"5"	"36"
2016-06-27	"images"	"Kuwait"	"77"	"0:1"	"96"	"3"
2016-06-27	"all"	"Kuwait"	"63"	"3:1"	"56"	"26"
2016-06-27	"blogs"	"Kyrgyzstan"	"9"	"0:0"	"0"	"3"
2016-06-27	"microblogs"	"Kyrgyzstan"	"100"	"1:3"	"36"	"126"
2016-06-27	"bookmarks"	"Kyrgyzstan"	"16"	"8:1"	"26"	"28"
2016-06-27	"images"	"Kyrgyzstan"	"95"	"1:1"	"57"	"41"
2016-06-27	"all"	"Kyrgyzstan"	"84"	"2:1"	"43"	"49"
2016-06-27	"blogs"	"Laos"	"7"	"0:0"	"0"	"2"
2016-06-27	"microblogs"	"Laos"	"100"	"3:1"	"41"	"92"
2016-06-27	"bookmarks"	"Laos"	"16"	"2:1"	"35"	"18"
2016-06-27	"images"	"Laos"	"89"	"0:0"	"72"	"24"
2016-06-27	"all"	"Laos"	"43"	"2:1"	"66"	"14"
2016-06-27	"blogs"	"Latvia"	"8"	"1:2"	"0"	"1"
2016-06-27	"microblogs"	"Latvia"	"100"	"1:1"	"5"	"182"
2016-06-27	"bookmarks"	"Latvia"	"22"	"6:0"	"11"	"32"
2016-06-27	"images"	"Latvia"	"100"	"0:0"	"91"	"9"
2016-06-27	"all"	"Latvia"	"74"	"2:1"	"45"	"40"
2016-06-27	"blogs"	"Lebanon"	"13"	"1:0"	"0"	"3"
2016-06-27	"microblogs"	"Lebanon"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Lebanon"	"42"	"1:1"	"19"	"34"
2016-06-27	"images"	"Lebanon"	"100"	"3:1"	"55"	"44"
2016-06-27	"all"	"Lebanon"	"67"	"2:1"	"47"	"32"
2016-06-27	"blogs"	"Lesotho"	"6"	"2:1"	"0"	"1"
2016-06-27	"microblogs"	"Lesotho"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Lesotho"	"4"	"1:3"	"22"	"14"
2016-06-27	"images"	"Lesotho"	"72"	"1:0"	"73"	"18"
2016-06-27	"all"	"Lesotho"	"44"	"1:1"	"69"	"14"
2016-06-27	"blogs"	"Liberia"	"13"	"4:0"	"25"	"4"
2016-06-27	"microblogs"	"Liberia"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Liberia"	"12"	"2:1"	"33"	"28"
2016-06-27	"images"	"Liberia"	"61"	"0:0"	"81"	"11"
2016-06-27	"all"	"Liberia"	"61"	"7:1"	"33"	"42"
2016-06-27	"blogs"	"Libya"	"9"	"2:0"	"0"	"1"
2016-06-27	"microblogs"	"Libya"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Libya"	"40"	"1:1"	"14"	"36"
2016-06-27	"images"	"Libya"	"53"	"5:1"	"68"	"14"
2016-06-27	"all"	"Libya"	"57"	"1:1"	"34"	"35"
2016-06-27	"blogs"	"Liechtenstein"	"8"	"0:0"	"0"	"0"
2016-06-27	"microblogs"	"Liechtenstein"	"100"	"6:0"	"6"	"180"
2016-06-27	"bookmarks"	"Liechtenstein"	"4"	"1:1"	"19"	"34"
2016-06-27	"images"	"Liechtenstein"	"100"	"0:0"	"99"	"1"
2016-06-27	"all"	"Liechtenstein"	"83"	"3:1"	"50"	"44"
2016-06-27	"blogs"	"Lithuania"	"9"	"4:0"	"0"	"1"
2016-06-27	"microblogs"	"Lithuania"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Lithuania"	"42"	"10:1"	"9"	"38"
2016-06-27	"images"	"Lithuania"	"87"	"0:0"	"73"	"22"
2016-06-27	"all"	"Lithuania"	"71"	"12:1"	"33"	"45"
2016-06-27	"blogs"	"Luxembourg"	"12"	"1:0"	"0"	"2"
2016-06-27	"microblogs"	"Luxembourg"	"100"	"4:0"	"3"	"170"
2016-06-27	"bookmarks"	"Luxembourg"	"22"	"11:1"	"0"	"36"
2016-06-27	"images"	"Luxembourg"	"100"	"0:0"	"89"	"18"
2016-06-27	"all"	"Luxembourg"	"46"	"13:1"	"72"	"12"
2016-06-27	"blogs"	"Macedonia"	"10"	"1:1"	"0"	"0"
2016-06-27	"microblogs"	"Macedonia"	"100"	"5:1"	"23"	"132"
2016-06-27	"bookmarks"	"Macedonia"	"10"	"4:1"	"26"	"28"
2016-06-27	"images"	"Macedonia"	"100"	"0:0"	"92"	"16"
2016-06-27	"all"	"Macedonia"	"57"	"3:1"	"81"	"11"
2016-06-27	"blogs"	"Madagascar"	"7"	"2:1"	"0"	"2"
2016-06-27	"microblogs"	"Madagascar"	"100"	"2:1"	"5"	"184"
2016-06-27	"bookmarks"	"Madagascar"	"40"	"1:1"	"25"	"30"
2016-06-27	"images"	"Madagascar"	"100"	"0:0"	"58"	"41"
2016-06-27	"all"	"Madagascar"	"75"	"2:1"	"30"	"50"
2016-06-27	"blogs"	"Malawi"	"9"	"3:0"	"0"	"3"
2016-06-27	"microblogs"	"Malawi"	"100"	"9:1"	"7"	"168"
2016-06-27	"bookmarks"	"Malawi"	"6"	"1:2"	"16"	"30"
2016-06-27	"images"	"Malawi"	"61"	"0:0"	"64"	"15"
2016-06-27	"all"	"Malawi"	"58"	"4:1"	"24"	"47"
2016-06-27	"blogs"	"Malaysia"	"12"	"8:0"	"33"	"2"
2016-06-27	"microblogs"	"Malaysia"	"100"	"1:1"	"6"	"176"
2016-06-27	"bookmarks"	"Malaysia"	"36"	"2:1"	"0"	"36"
2016-06-27	"images"	"Malaysia"	"100"	"3:1"	"53"	"47"
2016-06-27	"all"	"Malaysia"	"77"	"2:1"	"27"	"52"
2016-06-27	"blogs"	"Maldives"	"6"	"2:0"	"0"	"2"
2016-06-27	"microblogs"	"Maldives"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Maldives"	"6"	"2:1"	"10"	"36"
2016-06-27	"images"	"Maldives"	"53"	"1:0"	"60"	"20"
2016-06-27	"all"	"Maldives"	"54"	"7:1"	"20"	"46"
2016-06-27	"blogs"	"Mali"	"20"	"2:0"	"0"	"0"
2016-06-27	"microblogs"	"Mali"	"100"	"7:1"	"1"	"128"
2016-06-27	"bookmarks"	"Mali"	"32"	"1:1"	"45"	"24"
2016-06-27	"images"	"Mali"	"100"	"3:0"	"37"	"56"
2016-06-27	"all"	"Mali"	"72"	"4:1"	"26"	"52"
2016-06-27	"blogs"	"Malta"	"8"	"2:0"	"0"	"2"
2016-06-27	"microblogs"	"Malta"	"100"	"10:1"	"0"	"176"
2016-06-27	"bookmarks"	"Malta"	"40"	"5:0"	"35"	"26"
2016-06-27	"images"	"Malta"	"100"	"2:0"	"79"	"21"
2016-06-27	"all"	"Malta"	"74"	"19:1"	"40"	"42"
2016-06-27	"blogs"	"Marshall Islands"	"2"	"1:0"	"0"	"1"
2016-06-27	"microblogs"	"Marshall Islands"	"69"	"16:1"	"28"	"47"
2016-06-27	"bookmarks"	"Marshall Islands"	"69"	"16:1"	"28"	"47"
2016-06-27	"images"	"Marshall Islands"	"69"	"16:1"	"28"	"47"
2016-06-27	"all"	"Marshall Islands"	"69"	"16:1"	"28"	"47"
2016-06-27	"blogs"	"Mauritania"	"5"	"1:0"	"0"	"1"
2016-06-27	"microblogs"	"Mauritania"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Mauritania"	"8"	"1:1"	"20"	"24"
2016-06-27	"images"	"Mauritania"	"100"	"0:0"	"37"	"118"
2016-06-27	"all"	"Mauritania"	"76"	"5:1"	"23"	"61"
2016-06-27	"blogs"	"Mauritius"	"11"	"1:0"	"0"	"3"
2016-06-27	"microblogs"	"Mauritius"	"100"	"9:1"	"11"	"164"
2016-06-27	"bookmarks"	"Mauritius"	"4"	"2:1"	"18"	"18"
2016-06-27	"images"	"Mauritius"	"100"	"4:1"	"69"	"28"
2016-06-27	"all"	"Mauritius"	"80"	"4:1"	"38"	"49"
2016-06-27	"blogs"	"Mexico"	"9"	"2:0"	"0"	"2"
2016-06-27	"microblogs"	"Mexico"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Mexico"	"34"	"5:0"	"5"	"32"
2016-06-27	"images"	"Mexico"	"100"	"4:1"	"10"	"90"
2016-06-27	"all"	"Mexico"	"52"	"11:1"	"8"	"44"
2016-06-27	"blogs"	"Micronesia"	"2"	"2:0"	"0"	"1"
2016-06-27	"microblogs"	"Micronesia"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Micronesia"	"2"	"11:1"	"26"	"28"
2016-06-27	"images"	"Micronesia"	"100"	"0:0"	"32"	"106"
2016-06-27	"all"	"Micronesia"	"57"	"22:1"	"19"	"51"
2016-06-27	"blogs"	"Moldova"	"11"	"5:0"	"0"	"4"
2016-06-27	"microblogs"	"Moldova"	"100"	"4:1"	"11"	"152"
2016-06-27	"bookmarks"	"Moldova"	"8"	"3:1"	"21"	"30"
2016-06-27	"images"	"Moldova"	"90"	"1:0"	"70"	"26"
2016-06-27	"all"	"Moldova"	"76"	"5:1"	"38"	"49"
2016-06-27	"blogs"	"Monaco"	"11"	"4:0"	"12"	"5"
2016-06-27	"microblogs"	"Monaco"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Monaco"	"22"	"3:1"	"5"	"34"
2016-06-27	"images"	"Monaco"	"100"	"0:0"	"68"	"31"
2016-06-27	"all"	"Monaco"	"73"	"42:1"	"33"	"48"
2016-06-27	"blogs"	"Mongolia"	"9"	"5:0"	"0"	"2"
2016-06-27	"microblogs"	"Mongolia"	"100"	"5:0"	"9"	"170"
2016-06-27	"bookmarks"	"Mongolia"	"22"	"4:1"	"9"	"38"
2016-06-27	"images"	"Mongolia"	"70"	"0:0"	"65"	"24"
2016-06-27	"all"	"Mongolia"	"12"	"9:1"	"8"	"11"
2016-06-27	"blogs"	"Montenegro"	"3"	"3:0"	"0"	"2"
2016-06-27	"microblogs"	"Montenegro"	"100"	"1:1"	"1"	"130"
2016-06-27	"bookmarks"	"Montenegro"	"8"	"1:1"	"22"	"28"
2016-06-27	"images"	"Montenegro"	"84"	"1:1"	"80"	"16"
2016-06-27	"all"	"Montenegro"	"53"	"1:1"	"42"	"33"
2016-06-27	"blogs"	"Morocco"	"9"	"2:1"	"0"	"1"
2016-06-27	"microblogs"	"Morocco"	"100"	"6:1"	"4"	"182"
2016-06-27	"bookmarks"	"Morocco"	"40"	"2:1"	"15"	"34"
2016-06-27	"images"	"Morocco"	"70"	"0:0"	"46"	"37"
2016-06-27	"all"	"Morocco"	"66"	"3:1"	"21"	"49"
2016-06-27	"blogs"	"Mozambique"	"7"	"2:0"	"0"	"1"
2016-06-27	"microblogs"	"Mozambique"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Mozambique"	"0"	"1:1"	"14"	"36"
2016-06-27	"images"	"Mozambique"	"72"	"2:0"	"63"	"26"
2016-06-27	"all"	"Mozambique"	"56"	"4:1"	"32"	"41"
2016-06-27	"blogs"	"Myanmar"	"10"	"2:1"	"0"	"3"
2016-06-27	"microblogs"	"Myanmar"	"100"	"1:1"	"7"	"178"
2016-06-27	"bookmarks"	"Myanmar"	"10"	"4:1"	"21"	"30"
2016-06-27	"images"	"Myanmar"	"69"	"0:0"	"62"	"25"
2016-06-27	"all"	"Myanmar"	"34"	"2:1"	"50"	"18"
2016-06-27	"blogs"	"Namibia"	"8"	"2:0"	"0"	"2"
2016-06-27	"microblogs"	"Namibia"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Namibia"	"16"	"12:0"	"18"	"36"
2016-06-27	"images"	"Namibia"	NA	NA	NA	NA
2016-06-27	"all"	"Namibia"	"57"	"28:0"	"24"	"44"
2016-06-27	"blogs"	"Nauru"	"2"	"1:1"	"0"	"0"
2016-06-27	"microblogs"	"Nauru"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Nauru"	"0"	"1:0"	"44"	"10"
2016-06-27	"images"	"Nauru"	"100"	"0:0"	"38"	"102"
2016-06-27	"all"	"Nauru"	"69"	"1:2"	"32"	"48"
2016-06-27	"blogs"	"Nepal"	"10"	"4:1"	"0"	"3"
2016-06-27	"microblogs"	"Nepal"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Nepal"	"38"	"1:1"	"5"	"36"
2016-06-27	"images"	"Nepal"	"100"	"1:0"	"91"	"9"
2016-06-27	"all"	"Nepal"	"53"	"3:1"	"75"	"12"
2016-06-27	"blogs"	"Netherlands"	"12"	"2:1"	"0"	"2"
2016-06-27	"microblogs"	"Netherlands"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Netherlands"	"36"	"3:1"	"0"	"36"
2016-06-27	"images"	"Netherlands"	"100"	"0:0"	"81"	"38"
2016-06-27	"all"	"Netherlands"	"74"	"3:1"	"41"	"41"
2016-06-27	"blogs"	"Holland"	"12"	"3:0"	"0"	"3"
2016-06-27	"microblogs"	"Holland"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Holland"	"40"	"5:1"	"4"	"40"
2016-06-27	"images"	"Holland"	"65"	"1:1"	"29"	"45"
2016-06-27	"all"	"Holland"	"41"	"5:1"	"22"	"28"
2016-06-27	"blogs"	"New Zealand"	"10"	"3:1"	"0"	"1"
2016-06-27	"microblogs"	"New Zealand"	"74"	"6:1"	"6"	"64"
2016-06-27	"bookmarks"	"New Zealand"	"74"	"6:1"	"6"	"64"
2016-06-27	"images"	"New Zealand"	"74"	"6:1"	"6"	"64"
2016-06-27	"all"	"New Zealand"	"74"	"6:1"	"6"	"64"
2016-06-27	"blogs"	"Nicaragua"	"8"	"3:0"	"50"	"1"
2016-06-27	"microblogs"	"Nicaragua"	"100"	"2:1"	"12"	"160"
2016-06-27	"bookmarks"	"Nicaragua"	"20"	"12:1"	"0"	"42"
2016-06-27	"images"	"Nicaragua"	"70"	"0:0"	"0"	"0"
2016-06-27	"all"	"Nicaragua"	"55"	"9:1"	"20"	"44"
2016-06-27	"blogs"	"Niger"	"11"	"1:0"	"33"	"3"
2016-06-27	"microblogs"	"Niger"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Niger"	"4"	"5:1"	"15"	"32"
2016-06-27	"images"	"Niger"	"65"	"2:0"	"35"	"39"
2016-06-27	"all"	"Niger"	"32"	"8:1"	"30"	"24"
2016-06-27	"blogs"	"Nigeria"	"14"	"5:1"	"37"	"4"
2016-06-27	"microblogs"	"Nigeria"	"100"	"2:1"	"11"	"134"
2016-06-27	"bookmarks"	"Nigeria"	"36"	"2:1"	"22"	"28"
2016-06-27	"images"	"Nigeria"	"100"	"5:1"	"46"	"54"
2016-06-27	"all"	"Nigeria"	"72"	"2:1"	"30"	"47"
2016-06-27	"blogs"	"North Korea"	"10"	"1:2"	"25"	"2"
2016-06-27	"microblogs"	"North Korea"	"77"	"8:1"	"27"	"52"
2016-06-27	"bookmarks"	"North Korea"	"77"	"8:1"	"27"	"52"
2016-06-27	"images"	"North Korea"	"77"	"8:1"	"27"	"52"
2016-06-27	"all"	"North Korea"	"77"	"8:1"	"27"	"52"
2016-06-27	"blogs"	"Norway"	"9"	"1:0"	"0"	"1"
2016-06-27	"microblogs"	"Norway"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Norway"	"36"	"1:1"	"5"	"34"
2016-06-27	"images"	"Norway"	"100"	"1:0"	"52"	"96"
2016-06-27	"all"	"Norway"	"74"	"5:1"	"28"	"50"
2016-06-27	"blogs"	"Oman"	"14"	"2:0"	"25"	"3"
2016-06-27	"microblogs"	"Oman"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Oman"	"10"	"3:1"	"16"	"30"
2016-06-27	"images"	"Oman"	"100"	"2:0"	"77"	"23"
2016-06-27	"all"	"Oman"	"76"	"7:1"	"47"	"41"
2016-06-27	"blogs"	"Pakistan"	"14"	"3:0"	"0"	"2"
2016-06-27	"microblogs"	"Pakistan"	"100"	"13:0"	"7"	"164"
2016-06-27	"bookmarks"	"Pakistan"	"38"	"1:2"	"21"	"30"
2016-06-27	"images"	"Pakistan"	"100"	"0:0"	"71"	"28"
2016-06-27	"all"	"Pakistan"	"77"	"5:1"	"39"	"43"
2016-06-27	"blogs"	"Palau"	"2"	"2:0"	"0"	"1"
2016-06-27	"microblogs"	"Palau"	"100"	"1:10"	"17"	"154"
2016-06-27	"bookmarks"	"Palau"	"0"	"6:1"	"25"	"30"
2016-06-27	"images"	"Palau"	"76"	"0:0"	"71"	"21"
2016-06-27	"all"	"Palau"	"31"	"7:1"	"60"	"15"
2016-06-27	"blogs"	"Panama"	"12"	"6:1"	"0"	"3"
2016-06-27	"microblogs"	"Panama"	"96"	"4:0"	"0"	"96"
2016-06-27	"bookmarks"	"Panama"	"34"	"3:1"	"11"	"30"
2016-06-27	"images"	"Panama"	"100"	"2:0"	"67"	"33"
2016-06-27	"all"	"Panama"	"60"	"4:1"	"41"	"33"
2016-06-27	"blogs"	"Papua New Guinea"	"12"	"2:1"	"40"	"2"
2016-06-27	"microblogs"	"Papua New Guinea"	"47"	"2:1"	"56"	"22"
2016-06-27	"bookmarks"	"Papua New Guinea"	"47"	"2:1"	"56"	"22"
2016-06-27	"images"	"Papua New Guinea"	"47"	"2:1"	"56"	"22"
2016-06-27	"all"	"Papua New Guinea"	"47"	"2:1"	"56"	"22"
2016-06-27	"blogs"	"Paraguay"	"8"	"6:0"	"0"	"1"
2016-06-27	"microblogs"	"Paraguay"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Paraguay"	"28"	"6:1"	"4"	"42"
2016-06-27	"images"	"Paraguay"	"72"	"0:0"	"40"	"40"
2016-06-27	"all"	"Paraguay"	"38"	"12:1"	"31"	"25"
2016-06-27	"blogs"	"Peru"	"11"	"3:0"	"0"	"3"
2016-06-27	"microblogs"	"Peru"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Peru"	"36"	"3:1"	"11"	"32"
2016-06-27	"images"	"Peru"	"100"	"3:0"	"60"	"80"
2016-06-27	"all"	"Peru"	"54"	"6:1"	"50"	"24"
2016-06-27	"blogs"	"Philippines"	"10"	"3:1"	"0"	"2"
2016-06-27	"microblogs"	"Philippines"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Philippines"	"44"	"3:1"	"4"	"42"
2016-06-27	"images"	"Philippines"	"100"	"0:1"	"53"	"68"
2016-06-27	"all"	"Philippines"	"62"	"4:1"	"26"	"43"
2016-06-27	"blogs"	"Poland"	"10"	"1:0"	"0"	"3"
2016-06-27	"microblogs"	"Poland"	"100"	"6:1"	"0"	"154"
2016-06-27	"bookmarks"	"Poland"	"42"	"1:2"	"4"	"40"
2016-06-27	"images"	"Poland"	"100"	"1:0"	"81"	"19"
2016-06-27	"all"	"Poland"	"84"	"3:1"	"41"	"46"
2016-06-27	"blogs"	"Portugal"	"7"	"2:0"	"0"	"2"
2016-06-27	"microblogs"	"Portugal"	"100"	"9:1"	"1"	"186"
2016-06-27	"bookmarks"	"Portugal"	"38"	"4:1"	"5"	"36"
2016-06-27	"images"	"Portugal"	"100"	"0:0"	"92"	"8"
2016-06-27	"all"	"Portugal"	"52"	"6:1"	"75"	"12"
2016-06-27	"blogs"	"Qatar"	"10"	"7:0"	"25"	"2"
2016-06-27	"microblogs"	"Qatar"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Qatar"	"16"	"8:1"	"15"	"32"
2016-06-27	"images"	"Qatar"	"48"	"4:0"	"46"	"16"
2016-06-27	"all"	"Qatar"	"43"	"16:1"	"13"	"38"
2016-06-27	"blogs"	"Romania"	"10"	"0:0"	"0"	"2"
2016-06-27	"microblogs"	"Romania"	"100"	"2:1"	"4"	"120"
2016-06-27	"bookmarks"	"Romania"	"34"	"0:2"	"23"	"26"
2016-06-27	"images"	"Romania"	"92"	"1:0"	"63"	"33"
2016-06-27	"all"	"Romania"	"49"	"1:2"	"56"	"20"
2016-06-27	"blogs"	"Russian Federation"	"10"	"4:0"	"0"	"4"
2016-06-27	"microblogs"	"Russian Federation"	"75"	"5:1"	"29"	"49"
2016-06-27	"bookmarks"	"Russian Federation"	"75"	"5:1"	"29"	"49"
2016-06-27	"images"	"Russian Federation"	"75"	"5:1"	"29"	"49"
2016-06-27	"all"	"Russian Federation"	"75"	"5:1"	"29"	"49"
2016-06-27	"blogs"	"Rwanda"	"10"	"2:1"	"0"	"2"
2016-06-27	"microblogs"	"Rwanda"	"100"	"14:0"	"23"	"128"
2016-06-27	"bookmarks"	"Rwanda"	"4"	"6:1"	"6"	"30"
2016-06-27	"images"	"Rwanda"	"100"	"1:0"	"63"	"26"
2016-06-27	"all"	"Rwanda"	"57"	"12:1"	"37"	"36"
2016-06-27	"blogs"	"Saint Kitts and Nevis"	"7"	"1:0"	"0"	"6"
2016-06-27	"microblogs"	"Saint Kitts and Nevis"	"71"	"10:1"	"32"	"46"
2016-06-27	"bookmarks"	"Saint Kitts and Nevis"	"71"	"10:1"	"32"	"46"
2016-06-27	"images"	"Saint Kitts and Nevis"	"71"	"10:1"	"32"	"46"
2016-06-27	"all"	"Saint Kitts and Nevis"	"71"	"10:1"	"32"	"46"
2016-06-27	"blogs"	"Saint Lucia"	"8"	"3:0"	"0"	"6"
2016-06-27	"microblogs"	"Saint Lucia"	"71"	"10:1"	"32"	"46"
2016-06-27	"bookmarks"	"Saint Lucia"	"71"	"10:1"	"32"	"46"
2016-06-27	"images"	"Saint Lucia"	"71"	"10:1"	"32"	"46"
2016-06-27	"all"	"Saint Lucia"	"71"	"10:1"	"32"	"46"
2016-06-27	"blogs"	"Saint Vincent and the Grenadines"	"9"	"2:1"	"0"	"8"
2016-06-27	"microblogs"	"Saint Vincent and the Grenadines"	"71"	"10:1"	"32"	"46"
2016-06-27	"bookmarks"	"Saint Vincent and the Grenadines"	"71"	"10:1"	"32"	"46"
